"http_reply_code";"http_method";"duration_milliseconds";"content_type";"server_or_cache_address";"time";"squid_hierarchy";"bytes";"url";"client_address";"etiqueta"
204;"GET";111;"text/html";"173.194.34.228";"08:30:14";"DIRECT";546;"http://s.youtube.com/api/stats/playback?volume=48.99999999999999&c=WEB&len=620.054&plid=AATbjiI2Tpp4L8Xd&cver=as3&lact=878&mos=0&ver=2&pd=0&cpn=tYAYnB4uTVp3PDIQ&cmt=0.003&fs=0&referrer=https%3A%2F%2Fwww.google.es%2F&fexp=931202,926403,912518,916807,929602,907725,906383,925714,906387,906836,914005,900823,901208,904476,900821,919373,929119,932000,904482,932004,904479,926504,900824,912711,929903,902000,908529,930101,930807,911416,910075,933500,904830&bc=129593&el=detailpage&rt=0.389&cbrver=25.0.1364.160&cbr=Chrome&docid=zrBr0N0WrTY&vid=HA3HD7MGyP1QmWCI5FiVPuqeb1T1nUQ9C&cos=X11&rtn=10&ns=yt&fmt=34";"192.168.4.4";"deny"
204;"GET";115;"text/html";"192.168.4.4";"08:30:14";"DEFAULT_PARENT";596;"http://s.youtube.com/api/stats/playback?volume=48.99999999999999&c=WEB&len=620.054&plid=AATbjiI2Tpp4L8Xd&cver=as3&lact=878&mos=0&ver=2&pd=0&cpn=tYAYnB4uTVp3PDIQ&cmt=0.003&fs=0&referrer=https%3A%2F%2Fwww.google.es%2F&fexp=931202,926403,912518,916807,929602,907725,906383,925714,906387,906836,914005,900823,901208,904476,900821,919373,929119,932000,904482,932004,904479,926504,900824,912711,929903,902000,908529,930101,930807,911416,910075,933500,904830&bc=129593&el=detailpage&rt=0.389&cbrver=25.0.1364.160&cbr=Chrome&docid=zrBr0N0WrTY&vid=HA3HD7MGyP1QmWCI5FiVPuqeb1T1nUQ9C&cos=X11&rtn=10&ns=yt&fmt=34";"10.159.155.5";"deny"
204;"GET";457;"image/gif";"74.125.225.23";"08:30:14";"DIRECT";427;"http://csi.gstatic.com/csi?v=2&s=youtube&action=watch7&pt=453&fmt=34&docid=zrBr0N0WrTY&asv=3&plid=AATbjiI2Tpp4L8Xd&cpn=tYAYnB4uTVp3PDIQ&fv=LNX%2011%2C2%2C202%2C280&srt=397&e=933500,907725,926504,916807,914005&st=143&mod_li=0&ei=9GR_Ue75J5Ce8gPihYGIAg&mod_lt=cold&mod_pt=flash&mod_ad=0&mod_spf=0&rt=ct.7,bf.21,js_head.95,js_foot.236,ol.279,pre_ccVALIDATE_SIZE_PREROLL.837,fs.630,vri.864,fvf.1085,vr.1177,fvb.1137,gv.873,pre_cc.837,vl.304,aft.1177";"192.168.4.4";"deny"
204;"GET";464;"image/gif";"192.168.4.4";"08:30:14";"DEFAULT_PARENT";477;"http://csi.gstatic.com/csi?v=2&s=youtube&action=watch7&pt=453&fmt=34&docid=zrBr0N0WrTY&asv=3&plid=AATbjiI2Tpp4L8Xd&cpn=tYAYnB4uTVp3PDIQ&fv=LNX%2011%2C2%2C202%2C280&srt=397&e=933500,907725,926504,916807,914005&st=143&mod_li=0&ei=9GR_Ue75J5Ce8gPihYGIAg&mod_lt=cold&mod_pt=flash&mod_ad=0&mod_spf=0&rt=ct.7,bf.21,js_head.95,js_foot.236,ol.279,pre_ccVALIDATE_SIZE_PREROLL.837,fs.630,vri.864,fvf.1085,vr.1177,fvb.1137,gv.873,pre_cc.837,vl.304,aft.1177";"10.159.155.5";"deny"
200;"GET";55583;"text/plain";"108.160.162.37";"08:30:15";"DIRECT";276;"http://notify4.dropbox.com/subscribe?host_int=449658530&ns_map=89685457_21564521937,133272707_2817631818883,89694868_554140476052&ts=1367303346";"192.168.4.4";"deny"
200;"GET";55585;"text/plain";"192.168.4.4";"08:30:15";"DEFAULT_PARENT";326;"http://notify4.dropbox.com/subscribe?host_int=449658530&ns_map=89685457_21564521937,133272707_2817631818883,89694868_554140476052&ts=1367303346";"10.159.131.11";"deny"
200;"GET";1082;"application/octet-stream";"8.27.153.126";"08:30:15";"DIRECT";1529759;"http://au.download.windowsupdate.com/msdownload/update/software/uprl/2013/02/wu-windows6.1-kb2729094-v2-x64_7d08944484d693e51abaf9c37ec5b54019309e22.exe";"192.168.4.4";"allow"
200;"GET";1178;"video/x-flv";"74.125.10.183";"08:30:15";"DIRECT";1782186;"http://r18---sn-aigllnez.c.youtube.com/videoplayback?algorithm=throttle-factor&burst=40&cp=U0hVTFNNVV9IU0NONV9LR1lIOnozeHprc3J1RHJO&cpn=tYAYnB4uTVp3PDIQ&expire=1367327739&factor=1.25&fexp=933500%2C907725%2C926504%2C916807%2C914005%2C932000%2C932004%2C906383%2C906387%2C904479%2C904482%2C902000%2C901208%2C929903%2C925714%2C929119%2C931202%2C900821%2C900823%2C912518%2C911416%2C904476%2C908529%2C904830%2C930807%2C919373%2C906836%2C929602%2C930101%2C926403%2C900824%2C912711%2C910075&id=ceb06bd0dd16ad36&ip=95.39.226.109&ipbits=8&itag=34&keepalive=yes&key=yt1&ms=au&mt=1367303354&mv=m&newshard=yes&range=13-1781759&ratebypass=yes&signature=7AEF0794327AC6597461DC19550DA6353170918E.A88956F59757AF41648E3AC45F3A83CC47FE70FC&source=youtube&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&sver=3&upn=h4iKyB9XzRQ";"192.168.4.4";"deny"
200;"GET";1272;"video/x-flv";"192.168.4.4";"08:30:15";"DEFAULT_PARENT";1782236;"http://r18---sn-aigllnez.c.youtube.com/videoplayback?algorithm=throttle-factor&burst=40&cp=U0hVTFNNVV9IU0NONV9LR1lIOnozeHprc3J1RHJO&cpn=tYAYnB4uTVp3PDIQ&expire=1367327739&factor=1.25&fexp=933500%2C907725%2C926504%2C916807%2C914005%2C932000%2C932004%2C906383%2C906387%2C904479%2C904482%2C902000%2C901208%2C929903%2C925714%2C929119%2C931202%2C900821%2C900823%2C912518%2C911416%2C904476%2C908529%2C904830%2C930807%2C919373%2C906836%2C929602%2C930101%2C926403%2C900824%2C912711%2C910075&id=ceb06bd0dd16ad36&ip=95.39.226.109&ipbits=8&itag=34&keepalive=yes&key=yt1&ms=au&mt=1367303354&mv=m&newshard=yes&range=13-1781759&ratebypass=yes&signature=7AEF0794327AC6597461DC19550DA6353170918E.A88956F59757AF41648E3AC45F3A83CC47FE70FC&source=youtube&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&sver=3&upn=h4iKyB9XzRQ";"10.159.155.5";"deny"
200;"GET";1669;"application/octet-stream";"192.168.4.4";"08:30:15";"DEFAULT_PARENT";1529809;"http://au.download.windowsupdate.com/msdownload/update/software/uprl/2013/02/wu-windows6.1-kb2729094-v2-x64_7d08944484d693e51abaf9c37ec5b54019309e22.exe";"10.159.76.30";"allow"
