@ATTRIBUTE label { deny,allow }

@DATA

200, GET, 81, image, image/png, 192.168.4.4, 9:08:03, DEFAULT_PARENT, 16135, cdn-apple, 10.159.241.22, deny
200, GET, 74, image, image/png, 90.84.53.50, 9:08:03, DIRECT, 10431, cdn-apple, 192.168.4.4, deny
200, GET, 77, image, image/png, 90.84.53.50, 9:08:03, DIRECT, 6958, cdn-apple, 192.168.4.4, deny
200, GET, 76, image, image/png, 90.84.53.50, 9:08:03, DIRECT, 1610, cdn-apple, 10.159.241.22, deny
200, GET, 173, image, image/png, 90.84.53.50, 9:08:03, DIRECT, 70099, cdn-apple, 192.168.4.4, deny
200, GET, 81, image, image/png, 90.84.53.50, 9:08:03, DIRECT, 1866, cdn-apple, 192.168.4.4, deny
200, GET, 1121, null, null, 192.168.4.4, 9:08:13, DEFAULT_PARENT, 254, ceipmsn, 10.159.131.25, deny
200, GET, 275, application, application/x-javascript, 209.18.117.91, 9:08:13, DIRECT, 2343, pubmatic, 192.168.4.4, deny
200, GET, 315, text, text/css, 192.168.4.4, 9:08:23, DEFAULT_PARENT, 633, populetic, 10.159.201.18, deny
200, GET, 280, text, text/css, 54.225.200.12, 9:08:24, DIRECT, 2268, populetic, 192.168.4.4, deny
200, GET, 432, text, text/css, 192.168.4.4, 9:08:24, DEFAULT_PARENT, 15300, populetic, 10.159.201.18, deny
200, GET, 422, text, text/javascript, 192.168.4.4, 9:08:24, DEFAULT_PARENT, 6395, populetic, 10.159.201.18, deny
200, POST, 86, application, application/ocsp-response, 93.184.220.29, 9:08:31, DIRECT, 887, digicert, 192.168.4.4, deny
200, POST, 89, application, application/ocsp-response, 192.168.4.4, 9:08:31, DEFAULT_PARENT, 972, digicert, 10.159.91.60, deny
200, GET, 936, application, application/x-javascript, 192.168.4.4, 9:08:48, DEFAULT_PARENT, 12491, exponential, 10.159.52.182, deny
200, GET, 103, application, application/x-javascript, 91.216.63.241, 9:08:48, DIRECT, 5773, elpais, 192.168.4.4, deny
200, GET, 115, application, application/x-javascript, 192.168.4.4, 9:08:48, DEFAULT_PARENT, 5823, elpais, 10.159.52.182, deny
302, GET, 174, null, null, 212.96.161.250, 9:09:11, DIRECT, 261, avg, 192.168.4.4, deny
302, GET, 176, null, null, 192.168.4.4, 9:09:11, DEFAULT_PARENT, 306, avg, 10.159.79.125, deny
200, GET, 221, text, text/javascript, 192.168.4.4, 9:09:51, DEFAULT_PARENT, 1755, atemda, 10.159.52.182, deny
200, GET, 215, application, application/x-shockwave-flash, 213.99.54.20, 9:09:51, DIRECT, 217808, canalplus, 192.168.4.4, deny
200, GET, 68, image, image/gif, 192.168.4.4, 9:09:52, DEFAULT_PARENT, 469, scorecardresearch, 10.159.52.182, deny
302, GET, 94, text, text/html, 173.194.34.237, 9:09:52, DIRECT, 1080, doubleclick, 192.168.4.4, deny
200, GET, 21, image, image/png, 91.216.63.241, 9:10:22, DIRECT, 2422, epimg, 10.159.201.18, deny
200, GET, 69, image, image/gif, 173.194.34.233, 9:10:58, DIRECT, 510, google-analytics, 192.168.4.4, deny
200, GET, 52, image, image/gif, 173.194.34.229, 9:10:58, DIRECT, 510, google-analytics, 192.168.4.4, deny
200, GET, 98, image, image/jpeg, 93.184.22.111, 9:11:39, DIRECT, 36460, wp, 192.168.4.4, deny
200, GET, 69, image, image/jpeg, 93.184.22.111, 9:11:39, DIRECT, 10962, wp, 192.168.4.4, deny
200, POST, 113, application, application/ocsp-response, 192.168.4.4, 9:12:40, DEFAULT_PARENT, 2512, verisign, 10.159.20.83, deny
200, POST, 121, application, application/ocsp-response, 192.168.4.4, 9:12:40, DEFAULT_PARENT, 2404, verisign, 10.159.20.83, deny
302, GET, 144, text, text/html, 192.168.4.4, 9:12:52, DEFAULT_PARENT, 810, googleusercontent, 10.159.219.11, allow
302, GET, 132, text, text/html, 192.168.4.4, 9:12:52, DEFAULT_PARENT, 811, googleusercontent, 10.159.219.11, allow
304, GET, 130, null, null, 173.194.34.251, 9:12:55, DIRECT, 239, 2mdn, 10.159.219.11, allow
200, POST, 333, text, text/plain, 192.168.4.4, 9:12:55, DEFAULT_PARENT, 556, google, 10.159.219.11, allow
200, GET, 277, application, application/x-font-otf, 192.168.4.4, 9:13:49, DEFAULT_PARENT, 28515, phpjabbers, 10.159.155.5, allow
200, GET, 128, image, image/png, 50.97.35.217, 9:13:49, DIRECT, 4548, phpjabbers, 10.159.155.5, allow
200, GET, 45, text, text/css, 90.84.53.25, 9:14:20, DIRECT, 8273, lasprovincias, 192.168.4.4, deny
200, GET, 56, text, text/css, 192.168.4.4, 9:14:20, DEFAULT_PARENT, 8323, lasprovincias, 10.159.232.20, deny
302, GET, 111, text, text/html, 192.168.4.4, 9:14:27, DEFAULT_PARENT, 553, extensionfactory, 10.159.188.11, allow
200, GET, 119, text, text/xml, 91.199.122.51, 9:14:28, DIRECT, 1304, ahorro, 192.168.4.4, allow
200, GET, 54, image, image/gif, 173.194.34.224, 9:14:31, DIRECT, 510, google-analytics, 192.168.4.4, deny
200, GET, 107, image, image/gif, 192.168.4.4, 9:14:31, DEFAULT_PARENT, 450, xiti, 10.159.19.83, deny
200, GET, 394, text, text/html, 192.168.4.4, 9:15:19, DEFAULT_PARENT, 7750, noaa, 10.159.253.15, deny
200, GET, 189, image, image/png, 92.61.41.215, 9:15:20, DIRECT, 39246, desmotivado, 10.159.154.21, deny
200, GET, 63, image, image/gif, 192.168.4.4, 9:15:20, DEFAULT_PARENT, 560, google-analytics, 10.159.52.182, deny
200, GET, 205, text, text/javascript, 207.171.14.112, 9:15:20, DIRECT, 2509, amgdgt, 192.168.4.4, deny
200, GET, 297, text, text/plain, 192.168.4.4, 9:15:25, DEFAULT_PARENT, 659, facebook, 10.159.154.21, deny
204, GET, 79, text, text/html, 173.194.34.227, 9:15:25, DIRECT, 480, youtube, 192.168.4.4, deny
200, GET, 155, text, text/html, 213.0.95.4, 9:15:38, DIRECT, 30333, superdeporte, 192.168.4.4, deny
200, GET, 209, text, text/html, 192.168.4.4, 9:15:38, DEFAULT_PARENT, 30383, superdeporte, 10.159.154.21, deny
304, GET, 27, null, null, 192.168.4.4, 9:15:40, DEFAULT_PARENT, 368, superdeporte, 10.159.154.21, deny
304, GET, 34, null, null, 213.0.95.4, 9:15:40, DIRECT, 317, superdeporte, 192.168.4.4, deny
304, GET, 24, null, null, 213.0.95.4, 9:15:41, DIRECT, 288, superdeporte, 10.159.154.21, deny
304, GET, 24, null, null, 213.0.95.4, 9:15:41, DIRECT, 288, superdeporte, 10.159.154.21, deny
200, GET, 124, image, image/gif, 192.168.4.4, 9:15:46, DEFAULT_PARENT, 1105, weborama, 10.159.3.233, deny
304, GET, 43, application, application/x-shockwave-flash, 195.81.202.105, 9:15:46, DIRECT, 408, elmundo, 192.168.4.4, deny
302, GET, 374, text, text/plain, 66.235.13.118, 9:15:49, DIRECT, 875, 2o7, 192.168.4.4, allow
302, GET, 377, text, text/plain, 192.168.4.4, 9:15:49, DEFAULT_PARENT, 955, 2o7, 10.159.74.184, allow
200, GET, 131, text, text/javascript, 192.168.4.4, 9:15:58, DEFAULT_PARENT, 370, wordreference, 10.159.52.182, deny
404, GET, 54, text, text/html, 92.43.16.18, 9:15:58, DIRECT, 572, reparacion-mac, 10.159.241.22, deny
200, GET, 136, text, text/javascript, 208.43.111.194, 9:15:59, DIRECT, 320, wordreference, 192.168.4.4, deny
200, GET, 138, text, text/javascript, 192.168.4.4, 9:15:59, DEFAULT_PARENT, 370, wordreference, 10.159.52.182, deny
204, GET, 292, image, image/gif, 192.168.4.4, 9:16:30, DEFAULT_PARENT, 477, gstatic, 10.159.13.68, deny
200, GET, 143, application, application/javascript, 192.168.4.4, 9:16:30, DEFAULT_PARENT, 3608, google, 10.159.147.1, deny
200, GET, 90, image, image/jpeg, 90.84.53.80, 9:16:58, DIRECT, 4345, s-msn, 10.159.20.83, deny
200, GET, 145, image, image/jpeg, 90.84.53.49, 9:16:58, DIRECT, 10116, s-msn, 10.159.20.83, deny
