@ATTRIBUTE label { deny,allow,no label }

@DATA

200, GET, 5510, application, application/octet-stream, 90.84.53.64, "08:30:18", DIRECT, 15180682, mozilla, 192.168.4.4, no label
204, GET, 353, null, null, 184.73.217.30, "08:30:18", DIRECT, 161, betrad, 192.168.4.4, no label
204, GET, 354, null, null, 184.73.217.30, "08:30:18", DIRECT, 161, betrad, 192.168.4.4, no label
204, GET, 357, null, null, 192.168.4.4, "08:30:18", DEFAULT_PARENT, 211, betrad, 10.159.155.5, no label
204, GET, 357, null, null, 192.168.4.4, "08:30:18", DEFAULT_PARENT, 211, betrad, 10.159.155.5, no label
200, GET, 129, binary, binary/octet-stream, 173.194.34.233, "08:30:18", DIRECT, 3468, youtube, 192.168.4.4, no label
200, GET, 134, binary, binary/octet-stream, 192.168.4.4, "08:30:18", DEFAULT_PARENT, 3518, youtube, 10.159.155.5, no label
200, GET, 136, image, image/gif, 77.238.191.16, "08:30:19", DIRECT, 556, yahoo, 192.168.4.4, no label
200, GET, 142, image, image/gif, 192.168.4.4, "08:30:19", DEFAULT_PARENT, 606, yahoo, 10.159.46.201, no label
200, GET, 330, image, image/gif, 69.147.76.50, "08:30:19", DIRECT, 1244, yahoo, 192.168.4.4, no label
200, GET, 334, image, image/gif, 192.168.4.4, "08:30:19", DEFAULT_PARENT, 1294, yahoo, 10.159.46.201, no label
200, GET, 494, application, application/octet-stream, 8.27.153.126, "08:30:19", DIRECT, 843271, windowsupdate, 192.168.4.4, no label
200, GET, 745, application, application/octet-stream, 192.168.4.4, "08:30:19", DEFAULT_PARENT, 381393, windowsupdate, 10.159.76.30, no label
200, HEAD, 63, application, application/octet-stream, 90.84.53.49, "08:30:20", DIRECT, 384, windowsupdate, 192.168.4.4, no label
200, HEAD, 65, application, application/octet-stream, 192.168.4.4, "08:30:20", DEFAULT_PARENT, 469, windowsupdate, 10.159.76.30, no label
200, GET, 656, text, text/html, 178.236.6.247, "08:30:21", DIRECT, 48595, amazon, 192.168.4.4, no label
200, GET, 773, text, text/html, 192.168.4.4, "08:30:21", DEFAULT_PARENT, 48675, amazon, 10.159.19.104, no label
200, GET, 170, text, text/html, 85.13.190.205, "08:30:21", DIRECT, 595, webutation, 192.168.4.4, no label
200, GET, 175, text, text/html, 192.168.4.4, "08:30:21", DEFAULT_PARENT, 645, webutation, 10.159.19.104, no label
200, GET, 103, image, image/jpeg, 54.240.186.10, "08:30:22", DIRECT, 6750, images-amazon, 10.159.19.104, no label
200, GET, 81, image, image/png, 54.240.186.39, "08:30:22", DIRECT, 3964, images-amazon, 10.159.19.104, no label
200, GET, 93, image, image/jpeg, 54.240.186.10, "08:30:22", DIRECT, 23326, images-amazon, 10.159.19.104, no label
200, GET, 99, image, image/jpeg, 54.240.186.13, "08:30:22", DIRECT, 34426, images-amazon, 10.159.19.104, no label
200, GET, 22, image, image/png, 54.240.186.13, "08:30:22", DIRECT, 9914, images-amazon, 10.159.19.104, no label
200, GET, 22, image, image/png, 54.240.186.10, "08:30:22", DIRECT, 14367, images-amazon, 10.159.19.104, no label
200, GET, 21, image, image/jpeg, 54.240.186.10, "08:30:22", DIRECT, 4565, images-amazon, 10.159.19.104, no label
200, GET, 49, image, image/jpeg, 54.240.186.7, "08:30:22", DIRECT, 3783, images-amazon, 10.159.19.104, no label
200, GET, 68, image, image/jpeg, 54.240.186.13, "08:30:22", DIRECT, 6683, images-amazon, 10.159.19.104, no label
200, GET, 66, image, image/jpeg, 54.240.186.22, "08:30:22", DIRECT, 7830, images-amazon, 10.159.19.104, no label
200, GET, 68, image, image/jpeg, 54.240.186.19, "08:30:22", DIRECT, 3515, images-amazon, 10.159.19.104, no label
200, GET, 80, image, image/jpeg, 54.240.18.239, "08:30:22", DIRECT, 6031, images-amazon, 10.159.19.104, no label
200, GET, 22, image, image/jpeg, 54.240.18.239, "08:30:22", DIRECT, 4704, images-amazon, 10.159.19.104, no label
200, GET, 24, image, image/jpeg, 54.240.186.22, "08:30:22", DIRECT, 2272, images-amazon, 10.159.19.104, no label
200, GET, 24, image, image/jpeg, 54.240.186.19, "08:30:22", DIRECT, 4328, images-amazon, 10.159.19.104, no label
200, GET, 26, image, image/jpeg, 54.240.18.239, "08:30:22", DIRECT, 5114, images-amazon, 10.159.19.104, no label
200, GET, 26, image, image/jpeg, 54.240.186.7, "08:30:22", DIRECT, 2612, images-amazon, 10.159.19.104, no label
200, GET, 43, image, image/jpeg, 54.240.186.13, "08:30:22", DIRECT, 3046, images-amazon, 10.159.19.104, no label
200, GET, 38, image, image/jpeg, 54.240.186.13, "08:30:22", DIRECT, 2856, images-amazon, 10.159.19.104, no label
200, GET, 27, image, image/jpeg, 54.240.186.7, "08:30:22", DIRECT, 1956, images-amazon, 10.159.19.104, no label
200, GET, 28, image, image/jpeg, 54.240.186.13, "08:30:22", DIRECT, 2828, images-amazon, 10.159.19.104, no label
200, GET, 27, image, image/jpeg, 54.240.186.19, "08:30:22", DIRECT, 3529, images-amazon, 10.159.19.104, no label
200, GET, 28, image, image/jpeg, 54.240.186.22, "08:30:22", DIRECT, 2848, images-amazon, 10.159.19.104, no label
200, GET, 29, image, image/jpeg, 54.240.18.239, "08:30:22", DIRECT, 2861, images-amazon, 10.159.19.104, no label
200, GET, 39, image, image/jpeg, 54.240.18.239, "08:30:22", DIRECT, 2652, images-amazon, 10.159.19.104, no label
200, GET, 24, image, image/jpeg, 54.240.186.22, "08:30:22", DIRECT, 2600, images-amazon, 10.159.19.104, no label
200, GET, 23, image, image/jpeg, 54.240.186.7, "08:30:22", DIRECT, 2464, images-amazon, 10.159.19.104, no label
200, GET, 23, image, image/jpeg, 54.240.186.13, "08:30:22", DIRECT, 2445, images-amazon, 10.159.19.104, no label
200, GET, 25, image, image/jpeg, 54.240.186.19, "08:30:22", DIRECT, 2229, images-amazon, 10.159.19.104, no label
200, GET, 141, image, image/gif, 66.235.148.65, "08:30:23", DIRECT, 791, el-mundo, 192.168.4.4, no label
200, GET, 145, image, image/gif, 192.168.4.4, "08:30:23", DEFAULT_PARENT, 841, el-mundo, 10.159.131.11, no label
0, GET, 120095, null, null, 77.234.43.52, "08:30:23", DIRECT, 0, avast, 192.168.4.4, no label
200, GET, 982, text, text/xml, 218.153.11.20, "08:30:24", DIRECT, 1092, csafer, 192.168.4.4, no label
200, GET, 986, text, text/xml, 192.168.4.4, "08:30:24", DEFAULT_PARENT, 1137, csafer, 10.159.49.111, no label
204, GET, 97, text, text/html, 173.194.34.228, "08:30:24", DIRECT, 480, youtube, 192.168.4.4, no label
204, GET, 100, text, text/html, 192.168.4.4, "08:30:24", DEFAULT_PARENT, 530, youtube, 10.159.155.5, no label
